contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AMZN240705P00165000,AMZN,2024-07-05,165.00,put,0.01,0.01,0.00,0,0.01,135,51,2497,2024-07-02,0.76326,-0.00239,0.00054,-0.06256,0.00135,-0.00004
AMZN240705C00167500,AMZN,2024-07-05,167.50,call,30.33,32.75,32.35,69,33.15,107,5,5,2024-07-02,1.02026,0.97548,0.00311,-0.73374,0.01043,0.01334
AMZN240705P00167500,AMZN,2024-07-05,167.50,put,0.01,0.01,0.00,0,0.01,11,101,784,2024-07-02,0.70869,-0.00256,0.00062,-0.06176,0.00144,-0.00004
AMZN240705C00170000,AMZN,2024-07-05,170.00,call,30.22,30.30,29.85,70,30.75,141,676,1669,2024-07-02,0.98886,0.96874,0.00393,-0.85509,0.01277,0.01343
AMZN240705P00170000,AMZN,2024-07-05,170.00,put,0.02,0.01,0.00,0,0.02,127,341,3282,2024-07-02,0.65488,-0.00277,0.00072,-0.06110,0.00154,-0.00005
AMZN240705C00172500,AMZN,2024-07-05,172.50,call,27.40,27.43,27.10,143,27.75,21,1133,1211,2024-07-02,0.55172,1.00000,0.00000,-0.09190,0.00000,0.01417
AMZN240705P00172500,AMZN,2024-07-05,172.50,put,0.01,0.01,0.00,0,0.01,1,163,1310,2024-07-02,0.60137,-0.00299,0.00084,-0.06026,0.00166,-0.00005
AMZN240705C00175000,AMZN,2024-07-05,175.00,call,25.00,24.80,24.25,167,25.35,30,50,764,2024-07-02,0.50156,1.00000,0.00000,-0.09323,0.00000,0.01438
AMZN240705P00175000,AMZN,2024-07-05,175.00,put,0.01,0.01,0.00,0,0.01,7,242,2643,2024-07-02,0.54817,-0.00326,0.00099,-0.05924,0.00179,-0.00005
AMZN240705C00177500,AMZN,2024-07-05,177.50,call,22.80,22.98,21.65,153,24.30,171,15,836,2024-07-02,0.86310,0.94179,0.00743,-1.19566,0.02109,0.01359
AMZN240705P00177500,AMZN,2024-07-05,177.50,put,0.02,0.02,0.01,190,0.03,28,298,3235,2024-07-02,0.53461,-0.00629,0.00183,-0.10380,0.00321,-0.00010
AMZN240705C00180000,AMZN,2024-07-05,180.00,call,20.08,20.15,19.95,21,20.35,24,115,2781,2024-07-02,0.56753,0.98133,0.00444,-0.37978,0.00828,0.01448
AMZN240705P00180000,AMZN,2024-07-05,180.00,put,0.02,0.02,0.01,194,0.03,180,351,4159,2024-07-02,0.47881,-0.00697,0.00224,-0.10174,0.00352,-0.00012
AMZN240705C00182500,AMZN,2024-07-05,182.50,call,17.43,17.60,17.40,82,17.80,16,45,930,2024-07-02,0.42318,0.99218,0.00280,-0.19664,0.00389,0.01486
AMZN240705P00182500,AMZN,2024-07-05,182.50,put,0.01,0.01,0.01,137,0.02,3,814,4874,2024-07-02,0.39071,-0.00446,0.00184,-0.05579,0.00237,-0.00007
AMZN240705C00185000,AMZN,2024-07-05,185.00,call,15.15,15.27,14.95,16,15.60,93,353,5922,2024-07-02,0.52439,0.95282,0.01035,-0.66291,0.01785,0.01441
AMZN240705P00185000,AMZN,2024-07-05,185.00,put,0.03,0.03,0.02,137,0.03,89,1159,7634,2024-07-02,0.38720,-0.01219,0.00451,-0.13396,0.00574,-0.00020
AMZN240705C00187500,AMZN,2024-07-05,187.50,call,12.70,12.48,12.15,135,12.80,15,508,2828,2024-07-02,0.25078,1.00000,0.00000,-0.09989,0.00000,0.01540
AMZN240705P00187500,AMZN,2024-07-05,187.50,put,0.04,0.04,0.03,83,0.04,231,2423,5555,2024-07-02,0.34284,-0.01760,0.00699,-0.16234,0.00787,-0.00029
AMZN240705C00190000,AMZN,2024-07-05,190.00,call,10.25,10.07,9.80,19,10.35,1,2118,12737,2024-07-02,0.20063,1.00000,0.00000,-0.10123,0.00000,0.01561
AMZN240705P00190000,AMZN,2024-07-05,190.00,put,0.05,0.06,0.05,1,0.06,285,8599,13737,2024-07-02,0.30153,-0.02832,0.01186,-0.21269,0.01176,-0.00047
AMZN240705C00192500,AMZN,2024-07-05,192.50,call,7.65,7.58,7.25,26,7.90,16,1906,6262,2024-07-02,0.15047,1.00000,0.00000,-0.10256,0.00000,0.01581
AMZN240705P00192500,AMZN,2024-07-05,192.50,put,0.09,0.09,0.08,1,0.10,33,11562,8116,2024-07-02,0.25580,-0.04662,0.02102,-0.27012,0.01768,-0.00077
AMZN240705C00195000,AMZN,2024-07-05,195.00,call,5.37,5.25,5.05,50,5.45,8,18579,11520,2024-07-02,0.21403,0.90939,0.04205,-0.47944,0.02959,0.01452
AMZN240705P00195000,AMZN,2024-07-05,195.00,put,0.21,0.21,0.20,85,0.22,124,27141,8764,2024-07-02,0.22852,-0.10500,0.04388,-0.44702,0.03297,-0.00174
AMZN240705C00197500,AMZN,2024-07-05,197.50,call,3.27,3.25,3.20,17,3.30,16,40834,11862,2024-07-02,0.22867,0.73835,0.07849,-0.89778,0.05901,0.01187
AMZN240705P00197500,AMZN,2024-07-05,197.50,put,0.59,0.59,0.58,1,0.60,1,24719,7349,2024-07-02,0.21602,-0.25001,0.08113,-0.73022,0.05762,-0.00416
AMZN240705C00200000,AMZN,2024-07-05,200.00,call,1.68,1.67,1.65,157,1.70,52,146074,31483,2024-07-02,0.22486,0.51264,0.09780,-1.04273,0.07230,0.00829
